gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
1,56.0,149,0,1,271.05,12.6,30.72,53.0,3.0,4.0,3.0,0
1,42.0,19,0,0,279.15,14.6,31.64,127.0,7.0,4.0,2.0,0
1,39.0,74,0,0,205.05,9.8,23.24,114.0,4.0,3.0,0.0,0
0,44.0,89,1,1,168.9,11.1,19.14,116.0,2.0,3.0,0.0,0
0,29.0,80,0,0,240.9,10.7,27.3,88.0,1.0,3.0,1.0,0
1,29.0,95,1,1,330.3,4.1,37.43,82.0,2.0,2.0,0.0,0
1,50.0,111,0,0,295.65,9.3,33.51,101.0,10.5,3.0,0.0,0
0,35.0,87,0,0,307.2,9.5,34.82,89.0,3.0,3.0,0.0,0
0,35.0,127,0,1,214.8,11.6,24.34,77.0,1.0,4.0,1.0,0
0,34.0,98,0,1,269.85,12.8,30.58,76.0,7.0,4.0,3.0,0
1,24.0,147,1,1,329.85,8.1,37.38,111.0,4.0,3.0,3.0,0
0,50.0,34,0,0,440.55,11.0,49.93,76.0,10.0,3.0,2.0,0
1,37.0,116,0,0,241.05,8.2,27.32,144.0,5.0,3.0,0.0,0
1,59.5,86,0,0,189.45,9.8,21.47,95.0,7.0,3.0,2.0,0
0,59.5,115,1,0,270.0,12.4,30.6,70.0,3.0,4.0,1.0,0
0,33.0,55,0,0,291.15,7.0,33.0,136.0,7.0,2.0,2.0,0
1,38.0,73,0,0,297.45,14.8,33.71,87.0,8.0,4.0,3.0,0
1,38.0,114,0,0,287.25,3.000000000000001,32.56,118.0,0.0,1.5,0.0,0
0,46.0,99,0,0,220.05,8.9,24.94,98.0,1.0,3.0,3.0,0
1,29.0,131,0,1,203.85,9.4,23.1,121.0,4.0,3.0,1.0,0
1,37.0,122,0,1,380.55,9.2,43.13,123.0,5.0,3.0,3.5,0
0,30.0,138,1,1,337.8,11.7,38.28,99.0,4.0,4.0,0.0,0
1,39.0,87,0,0,173.1,13.1,19.62,69.0,5.0,4.0,2.0,0
0,19.0,121,0,1,297.6,5.8,33.73,77.0,3.0,2.0,3.0,0
1,37.0,78,0,0,112.5,9.5,12.75,83.0,6.0,3.0,3.0,0
1,49.0,110,0,0,294.15,12.9,33.34,71.0,1.0,4.0,3.0,0
1,59.5,153,0,0,290.7,8.5,32.95,108.0,3.0,3.0,1.0,0
1,39.0,134,0,0,212.55,8.8,24.09,60.0,6.0,3.0,0.0,0
0,31.0,63,0,0,317.7,10.7,36.01,99.0,9.0,3.0,3.0,0
1,42.0,125,0,1,354.15,9.1,40.14,107.0,4.0,3.0,2.0,0
1,30.0,119,0,0,285.6,10.0,32.37,111.0,1.0,3.0,2.0,0
0,30.0,132,1,1,300.45,12.9,34.05,91.0,3.0,4.0,2.0,0
0,36.0,85,0,0,353.7,12.0,40.09,99.0,3.0,4.0,0.0,0
1,30.0,29,0,0,236.1,9.3,26.76,92.0,2.0,3.0,1.0,0
1,56.0,17,0,0,242.25,8.6,27.46,106.0,5.0,3.0,1.0,0
0,35.0,149,0,1,310.05,10.9,35.14,80.0,3.0,3.0,1.0,0
1,39.0,39,0,0,240.6,9.1,27.27,106.0,5.0,3.0,2.0,0
0,40.0,95,0,0,297.6,10.1,33.73,99.0,3.0,3.0,0.0,0
0,40.0,55,0,0,430.05,6.9,48.74,122.0,5.0,2.0,2.0,0
1,29.0,146,0,0,309.45,6.1,35.07,91.0,3.0,2.0,1.0,0
1,24.0,115,0,0,149.55,14.1,16.95,99.0,4.0,4.0,2.0,0
0,38.0,138,0,1,60.46875000000003,7.9,6.857499999999998,111.0,1.0,3.0,0.0,0
0,40.0,89,0,0,319.5,9.1,36.21,126.0,1.0,3.0,1.0,0
1,33.0,99,0,0,361.65,11.6,40.99,109.0,10.0,4.0,1.0,0
0,51.0,111,0,0,219.3,8.7,24.85,116.0,3.0,3.0,3.0,0
1,39.0,53,0,1,60.46875000000003,6.5,6.857499999999998,64.0,7.0,2.0,1.0,0
1,25.0,64,0,0,337.2,9.2,38.22,110.0,2.0,3.0,1.0,0
1,54.0,102,0,0,154.65,11.2,17.53,92.0,5.0,4.0,1.0,0
1,25.0,59,0,0,241.35,5.0,27.35,97.0,5.0,2.0,3.0,0
1,39.0,72,0,1,280.05,16.5,31.74,119.0,4.0,5.0,1.0,0
1,29.0,106,0,0,411.6,6.0,46.65,62.0,3.0,2.0,1.0,0
0,49.0,115,0,1,217.5,14.2,24.65,138.0,3.0,4.0,2.0,0
1,41.0,118,0,0,283.2,8.2,32.1,100.0,7.0,3.0,3.5,0
1,59.5,138,0,0,291.45,9.0,33.03,102.0,3.0,3.0,3.5,0
0,43.0,162,0,0,276.75,11.6,31.37,82.0,3.0,4.0,1.0,0
1,46.0,90,1,0,222.3,9.2,25.19,97.0,1.0,3.0,3.5,0
1,43.0,104,0,0,195.75,13.0,22.19,63.0,6.0,4.0,0.0,0
1,30.0,165,0,0,225.75,10.3,25.59,93.0,2.0,3.0,1.0,0
1,41.0,87,0,1,227.1,3.000000000000001,25.74,109.0,0.0,1.5,1.0,0
0,44.0,36,0,0,236.4,11.9,26.79,99.0,1.0,4.0,0.0,0
1,47.0,138,1,0,253.95,9.4,28.78,77.0,9.0,3.0,1.0,0
0,59.5,151,0,0,234.6,7.7,26.59,141.0,6.0,3.0,3.5,0
0,41.0,148,0,0,303.0,10.9,34.34,90.0,3.0,3.0,1.0,0
1,29.0,45,0,1,294.9,11.9,33.42,108.0,3.0,4.0,0.0,0
0,35.0,50,0,1,288.9,7.9,32.74,101.0,2.0,3.0,2.0,0
1,36.0,150,0,0,253.8,12.6,28.76,107.0,3.0,4.0,1.0,0
1,37.0,102,1,0,350.7,12.8,39.75,106.0,3.0,4.0,0.0,0
1,29.0,99,0,0,297.3,8.7,33.69,113.0,3.0,3.0,3.5,0
0,41.0,132,0,0,265.05,9.1,30.04,120.0,4.0,3.0,2.0,0
1,49.0,31,0,1,150.15,5.9,17.02,131.0,3.0,2.0,0.0,0
1,38.0,106,0,0,331.05,8.7,37.52,113.0,5.0,3.0,1.0,0
1,36.0,201,0,1,288.0,15.1,32.64,125.0,3.0,5.0,1.0,0
0,32.0,77,0,0,93.6,5.7,10.61,64.0,6.0,2.0,3.5,0
1,43.0,102,0,0,172.2,12.0,19.52,101.0,4.0,4.0,0.0,0
0,22.0,94,0,0,236.85,8.0,26.84,84.0,5.0,3.0,3.5,0
1,36.0,174,0,1,332.7,12.4,37.71,109.0,9.0,4.0,1.0,0
0,24.0,56,0,1,182.55,12.7,20.69,98.0,3.0,4.0,1.0,0
1,38.0,106,0,0,171.6,3.000000000000001,19.45,78.0,0.0,1.5,2.0,0
0,39.0,132,0,1,231.9,9.1,26.28,90.0,4.0,3.0,1.0,0
0,29.0,27,0,0,290.7,9.2,32.95,124.0,3.0,3.0,0.0,0
0,46.0,152,0,0,295.65,7.4,33.51,100.0,4.0,2.0,3.0,0
1,41.0,101,0,0,372.9,6.1,42.26,86.0,3.0,2.0,3.0,0
0,30.0,139,0,1,144.3,12.9,16.35,84.0,10.0,4.0,2.0,0
1,24.0,98,0,0,257.55,7.8,29.19,130.0,6.0,3.0,1.0,0
0,30.0,141,0,1,323.1,7.8,36.62,89.0,6.0,3.0,1.0,0
0,43.0,103,0,0,297.75,12.4,33.75,124.0,5.0,4.0,0.0,0
1,36.0,76,0,0,409.05,7.7,46.36,105.0,2.0,3.0,0.0,0
0,29.0,87,0,0,482.11875,9.4,54.6375,128.0,4.0,3.0,2.0,0
1,52.0,103,0,0,369.75,11.7,41.91,96.0,4.0,4.0,1.0,0
1,33.0,112,0,0,365.1,12.8,41.38,94.0,2.0,4.0,1.0,0
1,59.5,118,0,0,200.1,5.9,22.68,129.0,4.0,2.0,1.0,0
0,40.0,157,0,0,294.0,7.9,33.32,81.0,6.0,3.0,1.0,0
1,27.0,50,0,1,321.45,10.6,36.43,130.0,4.0,3.0,1.0,0
0,49.0,178,0,0,413.1,13.6,46.82,126.0,3.0,4.0,1.0,0
1,36.0,163,0,1,347.85,12.3,39.42,74.0,3.0,4.0,2.0,0
0,42.0,121,1,1,381.15,8.7,43.2,129.0,4.0,3.0,3.0,0
1,38.0,18,0,0,410.4,8.2,46.51,120.0,4.0,3.0,1.0,0
1,36.0,131,0,1,103.65,9.1,11.75,94.0,4.0,3.0,0.0,0
1,39.0,120,0,0,298.2,9.9,33.8,81.0,3.0,3.0,2.0,0
1,39.0,127,0,0,331.5,6.8,37.57,96.0,4.0,2.0,2.0,0
0,41.0,122,0,0,365.7,13.7,41.45,84.0,8.0,4.0,2.0,0
0,25.0,66,0,1,382.35,5.4,43.33,95.0,3.0,2.0,2.0,0
0,54.0,110,0,0,277.65,6.3,31.47,104.0,4.0,2.0,3.0,0
0,35.0,36,0,0,175.65,9.0,19.91,108.0,2.0,3.0,0.0,0
0,44.0,108,0,0,369.3,9.4,41.85,95.0,5.0,3.0,1.0,0
1,46.0,126,0,0,339.3,6.4,38.45,110.0,2.0,2.0,0.0,0
0,32.0,84,0,1,238.65,13.0,27.05,108.0,10.5,4.0,1.0,0
